지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
106,동해,2023-01-16 11:00,3.8,,2,59,.4,,,7
106,동해,2023-01-16 12:00,4.1,,1.3,53,.8,,,8
106,동해,2023-01-16 13:00,2.9,,3.5,53,.1,,,8
106,동해,2023-01-16 14:00,3.5,,3.7,48,.7,,,6
106,동해,2023-01-16 15:00,3.6,,2.2,47,1,,,5
106,동해,2023-01-16 16:00,3,,3,45,1,,,4
106,동해,2023-01-16 17:00,1.6,,1.7,51,.6,,,4
106,동해,2023-01-16 18:00,.2,,1.1,56,0,,,2
106,동해,2023-01-16 19:00,.4,,2.1,55,,,,0
106,동해,2023-01-16 20:00,.2,,2.1,53,,,,0
106,동해,2023-01-16 21:00,-.5,,2.2,61,,,,0
106,동해,2023-01-16 22:00,-.7,,2.2,58,,,,0
106,동해,2023-01-16 23:00,-1.6,,1.4,61,,,,0
106,동해,2023-01-17 00:00,-2.2,,1.6,63,,,,1
106,동해,2023-01-17 01:00,-1.9,,2.2,57,,,,1
106,동해,2023-01-17 02:00,-2.8,,1.5,62,,,,3
106,동해,2023-01-17 03:00,-2.8,,1.2,65,,,,5
106,동해,2023-01-17 04:00,-3.1,,1.5,66,,,,5
106,동해,2023-01-17 05:00,-2.9,,1.1,67,,,,7
106,동해,2023-01-17 06:00,-2.6,,1.7,61,,,,7
106,동해,2023-01-17 07:00,-1.9,,1.5,51,,,,7
106,동해,2023-01-17 08:00,-1.8,,1.6,54,0,,,10
106,동해,2023-01-17 09:00,-1,,1.3,49,0,,,9
106,동해,2023-01-17 10:00,.2,,.4,44,0,,,9
106,동해,2023-01-17 11:00,1.4,,1.7,34,0,,,10
106,동해,2023-01-17 12:00,2.1,,1.8,27,0,,,10
106,동해,2023-01-17 13:00,2.5,,2.1,29,0,,,9
106,동해,2023-01-17 14:00,2.2,,4.9,35,.1,,,10
106,동해,2023-01-17 15:00,2.9,,3,38,0,,,10
106,동해,2023-01-17 16:00,3.1,,4.4,42,.2,,,9
106,동해,2023-01-17 17:00,2.3,,2.2,46,.6,,,5
106,동해,2023-01-17 18:00,1.8,,1.9,47,0,,,7
106,동해,2023-01-17 19:00,1.3,,.9,50,,,,4
106,동해,2023-01-17 20:00,1.3,,1.7,50,,,,6
106,동해,2023-01-17 21:00,1.1,,2.4,51,,,,10
106,동해,2023-01-17 22:00,1.1,,2.5,53,,,,10
106,동해,2023-01-17 23:00,1,,1.3,53,,,,10
106,동해,2023-01-18 00:00,1,,3.4,53,,,,7
106,동해,2023-01-18 01:00,1.4,,5.1,51,,,,7
106,동해,2023-01-18 02:00,1,,3.4,55,,,,9
106,동해,2023-01-18 03:00,1.1,,2.9,54,,,,10
106,동해,2023-01-18 04:00,1.2,,2.4,52,,,,8
106,동해,2023-01-18 05:00,.1,,.6,58,,,,7
106,동해,2023-01-18 06:00,-.4,,.4,60,,,,6
106,동해,2023-01-18 07:00,0,,1.9,58,,,,6
106,동해,2023-01-18 08:00,-.1,,.7,55,0,,,6
106,동해,2023-01-18 09:00,2,,.8,49,.6,,,5
106,동해,2023-01-18 10:00,2.3,,.9,42,1,,,4
106,동해,2023-01-18 11:00,3.2,,.9,34,1,,,2
106,동해,2023-01-18 12:00,3.3,,1.6,35,1,,,3
106,동해,2023-01-18 13:00,3.3,,2.6,36,1,,,0
106,동해,2023-01-18 14:00,4,,2.2,42,1,,,1
106,동해,2023-01-18 15:00,3.8,,1.9,46,1,,,0
106,동해,2023-01-18 16:00,3.6,,1.1,48,1,,,1
106,동해,2023-01-18 17:00,2.5,,.6,52,.6,,,1
106,동해,2023-01-18 18:00,1.2,,1.3,58,0,,,0
106,동해,2023-01-18 19:00,.6,,1.4,57,,,,0
